#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
202,Stronghold Kingdoms,2/27/2012,Free,70% (75%),"919,263 ±28,411",91:25 (01:15)
297,StarDrive 2,4/9/2015,$20.99,70% (69%),"35,720 ±5,610",23:02 (13:38)
380,The Mighty Quest For Epic Loot,2/25/2014,Free,70% (63%),"1,664,305 ±38,168",14:39 (03:21)
519,Kingdom Wars,4/1/2013,Free,70% (N/A),"306,498 ±16,426",11:18 (01:11)
576,Arma: Cold War Assault,8/8/2011,$1.19,70% (N/A),"1,165,843 ±31,978",01:39 (00:14)
693,Survivor Squad,1/21/2015,$0.35,70% (N/A),"97,250 ±9,256",02:35 (01:15)
385,Planetary Annihilation,9/5/2014,$7.49,69% (62%),"739,973 ±25,499",11:28 (03:23)
48,Anno 2070,11/17/2011,$17.99,68% (83%),"694,344 ±24,703",34:44 (10:48)
151,Sid Meier's Railroads!,5/4/2007,$2.49,67% (77%),"505,606 ±21,088",09:32 (01:51)
1143,Frontline Tactics,10/26/2012,Free,67% (N/A),"271,700 ±15,466",05:15 (00:32)
208,Eador. Masters of the Broken World,4/19/2013,$3.99,66% (74%),"166,154 ±12,097",44:49 (05:58)
382,Jagged Alliance - Back in Action,2/8/2012,$7.49,66% (62%),"240,359 ±14,548",45:55 (10:40)
361,Stronghold Crusader 2,9/22/2014,$16.99,65% (65%),"166,615 ±12,114",18:42 (06:26)
514,Dogs of War Online - Beta,2/4/2014,Free,65% (N/A),"136,887 ±10,981",02:46 (00:33)
547,Sins of a Dark Age,5/8/2015,Free,65% (N/A),"256,029 ±15,014",03:11 (00:41)
634,FortressCraft Evolved,12/10/2013,$2.24,65% (N/A),"53,695 ±6,878",04:46 (00:50)
903,Folk Tale,5/30/2013,$16.74,65% (N/A),"80,196 ±8,406",04:53 (02:02)
926,TOME: Immortal Arena,11/21/2014,Free,65% (N/A),"390,381 ±18,534",02:35 (00:42)
1013,CaesarIA,1/20/2015,Free,65% (N/A),"177,676 ±12,509",01:56 (00:14)
307,Blackguards,1/22/2014,$3.99,64% (68%),"331,617 ±17,085",13:48 (02:57)
451,Battle Nations,9/18/2014,Free,64% (N/A),"344,291 ±17,408",09:33 (00:25)
579,March of War,6/10/2014,Free,64% (N/A),"504,454 ±21,064",12:14 (00:51)
366,Hydrophobia: Prophecy,5/9/2011,$4.99,63% (64%),"290,827 ±16,001",02:05 (01:01)
