#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
179,Shrooms,5/8/2015,$8.99,N/A (N/A),691 ±780,00:27 (00:17)
180,Hearthlands,12/12/2014,$10.04,N/A (N/A),"8,988 ±2,814",03:38 (03:22)
181,Project AURA,1/5/2015,$14.99,N/A (N/A),"8,527 ±2,741",05:30 (01:54)
182,The Memory of Eldurim,2/7/2014,$19.99,N/A (N/A),"4,148 ±1,912",04:29 (01:24)
183,The Magic Circle,5/13/2015,$17.99,N/A (N/A),"1,670 ±1,461",07:51 (13:59)
184,Damned Nation Reborn,2/12/2015,$6.49,N/A (N/A),"6,453 ±2,384",00:30 (00:22)
186,Warring States,10/6/2014,$10.99,N/A (N/A),"6,683 ±2,427",01:25 (01:47)
187,Ninja Pizza Girl,5/25/2015,$12.99,N/A (N/A),"3,226 ±1,686",00:19 (00:06)
188,Project Explore,3/20/2015,$3.49,N/A (N/A),"9,679 ±2,920",01:45 (00:59)
189,Vagante,12/16/2014,$13.49,N/A (N/A),"12,675 ±3,342",08:05 (04:46)
190,Perfect Golf,1/22/2015,$19.99,N/A (N/A),"9,679 ±2,920",80:17 (06:16)
191,Nekro,5/2/2014,$9.99,N/A (N/A),"34,107 ±5,482",02:31 (01:45)
192,Escape Machines,4/14/2015,$0.14,N/A (N/A),"22,354 ±4,438",00:47 (00:32)
193,Tail Drift,10/29/2014,$9.99,N/A (N/A),"5,761 ±2,253",00:19 (00:10)
195,CDF Ghostship,10/28/2014,$16.99,N/A (N/A),"1,670 ±1,461",01:05 (01:50)
196,Super Indie Karts,5/6/2015,$14.99,N/A (N/A),"566 ±1,107",00:00 (00:00)
197,Mad Games Tycoon,1/5/2015,$8.99,N/A (N/A),"19,358 ±4,130",09:51 (07:29)
198,Ensign-1,11/13/2014,$9.99,N/A (N/A),"8,988 ±2,814",00:38 (00:36)
199,Skara - The Blade Remains,10/27/2014,$4.99,N/A (N/A),"64,756 ±7,554",00:48 (00:36)
201,Into The War,2/23/2015,Free,N/A (N/A),"52,773 ±6,819",00:29 (00:07)
202,Congo,11/27/2014,$6.69,N/A (N/A),"2,338 ±1,729",00:24 (00:25)
203,Masterspace,4/16/2014,$6.99,N/A (N/A),"4,379 ±1,964",06:11 (09:32)
204,TIS-100,6/1/2015,$6.99,N/A (N/A),"11,983 ±3,249",06:08 (03:20)
