#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
30,Dawn of Discovery,6/23/2009,$5.99,N/A (82%),"39,868 ±5,927",39:28 (21:10)
32,The Guild Gold Edition,9/9/2014,$1.99,N/A (82%),"36,411 ±5,664",05:03 (02:02)
35,Distant Worlds: Universe,5/23/2014,$39.59,N/A (81%),"30,419 ±5,177",46:22 (13:05)
39,Order of Battle : Pacific,4/30/2015,$39.99,N/A (81%),"3,457 ±1,745",36:16 (91:21)
46,The Corporate Machine,3/25/2015,$4.99,N/A (80%),"1,383 ±1,103",03:18 (02:12)
49,iRacing,1/12/2015,$2.49,N/A (79%),"8,988 ±2,814",14:23 (04:34)
50,Silent Hunter: Wolves of the Pacific,6/13/2008,$5.99,N/A (79%),"59,917 ±7,266",15:39 (04:19)
54,0RBITALIS,5/28/2015,$6.69,N/A (78%),"32,263 ±5,332",01:17 (00:40)
56,Wings of Prey,1/8/2010,$19.99,N/A (78%),"140,574 ±11,128",23:42 (06:10)
61,The Sims(TM) Medieval,5/27/2011,$7.49,N/A (77%),"62,913 ±7,445",25:56 (09:02)
64,Rise of Flight: Channel Battles Edition,9/5/2013,Free,N/A (77%),"90,336 ±8,921",02:48 (00:25)
65,GoD Factory: Wingmen,8/29/2014,$9.99,N/A (76%),"38,255 ±5,806",03:38 (01:56)
66,MotoGP™14,6/20/2014,$29.99,N/A (76%),"13,136 ±3,402",10:36 (03:31)
69,Patrician III,11/18/2010,$1.24,N/A (75%),"110,385 ±9,861",05:11 (00:32)
72,Space Colony,4/30/2015,$13.49,N/A (75%),"7,835 ±2,627",04:55 (03:39)
73,Bad Mojo Redux,7/3/2014,$1.49,N/A (74%),"15,440 ±3,689",00:51 (00:29)
75,Incredipede,3/18/2013,$2.49,N/A (74%),"163,619 ±12,005",01:22 (00:28)
76,IL-2 Sturmovik: Battle of Stalingrad,10/22/2014,$29.99,N/A (74%),"21,201 ±4,322",13:56 (03:59)
77,Comanche 4,6/18/2009,$4.99,N/A (74%),"16,362 ±3,797",02:52 (01:15)
78,Sunset,5/21/2015,$9.99,N/A (74%),"3,005 ±1,960",05:19 (08:51)
79,Dyscourse,3/25/2015,$9.74,N/A (74%),"2,765 ±1,561",02:46 (02:54)
84,Blazing Angels 2: Secret Missions of WWII,5/13/2008,$5.99,N/A (72%),"19,127 ±4,105",04:45 (01:10)
85,Majesty 2,9/17/2009,$2.49,N/A (72%),"94,023 ±9,101",21:03 (07:26)
86,The Last Federation,4/18/2014,$4.99,N/A (72%),"42,172 ±6,096",05:57 (02:54)
87,DUNGEONS - The Dark Lord (Steam Special Edition),9/27/2011,$4.99,N/A (72%),"130,665 ±10,729",03:27 (00:58)
90,Grand Ages: Rome,3/20/2009,$2.49,N/A (72%),"145,644 ±11,326",10:23 (03:21)
91,Gratuitous Space Battles,11/16/2009,$14.99,N/A (72%),"531,877 ±21,628",05:57 (01:32)
92,MX vs. ATV Unleashed,4/16/2015,$4.99,N/A (71%),"1,844 ±1,274",01:07 (00:56)
94,Dungeons 2,4/24/2015,$26.79,N/A (71%),"32,032 ±5,313",14:45 (09:33)
97,March of the Eagles,2/18/2013,$4.99,N/A (71%),"67,061 ±7,687",15:17 (01:49)
98,To End All Wars,8/29/2014,$35.99,N/A (71%),"2,765 ±1,561",38:16 (42:54)
99,Star Wars Starfighter,7/8/2009,$5.99,N/A (71%),"475,417 ±20,450",01:44 (00:14)
100,Fate of the World,2/28/2011,$9.99,N/A (70%),"71,439 ±7,934",03:55 (01:10)
104,Evochron Mercenary,1/16/2012,$16.74,N/A (70%),"91,258 ±8,967",07:10 (01:42)
105,Cities in Motion,2/22/2011,$4.99,N/A (70%),"241,280 ±14,576",20:40 (03:01)
106,Sengoku,9/15/2011,$2.49,N/A (70%),"101,167 ±9,441",04:40 (01:14)
107,Echelon,7/3/2014,$1.19,N/A (70%),"5,070 ±2,113",01:03 (01:22)
108,Take On Helicopters,10/27/2011,$3.99,N/A (70%),"277,922 ±15,642",03:49 (00:48)
111,Pride of Nations,6/7/2011,$9.99,N/A (70%),"21,662 ±4,369",15:35 (03:47)
112,Basketball Pro Management 2015,11/19/2014,$6.24,N/A (69%),"2,074 ±1,352",09:07 (02:36)
113,Qvadriga,6/13/2014,$9.99,N/A (69%),"8,757 ±2,778",75:24 (02:25)
115,Panzer Tactics HD,5/22/2014,$4.99,N/A (69%),"21,893 ±4,392",18:49 (03:41)
116,Gratuitous Tank Battles,5/17/2012,$2.49,N/A (69%),"62,682 ±7,432",03:25 (00:38)
123,Tycoon City: New York,3/12/2008,$4.99,N/A (67%),"18,897 ±4,081",10:31 (02:24)
124,X: Beyond the Frontier,10/8/2010,$2.49,N/A (67%),"189,890 ±12,932",04:34 (00:32)
125,Faces of War,4/16/2014,$1.24,N/A (67%),"36,181 ±5,646",06:31 (02:35)
126,Pacific Storm,6/24/2008,$1.59,N/A (67%),"47,933 ±6,499",00:55 (00:24)
127,RIDE: Game,3/27/2015,$39.99,N/A (67%),"11,983 ±3,249",16:21 (09:04)
128,Battleplan: American Civil War,7/4/2014,$3.39,N/A (66%),"24,658 ±4,661",01:15 (01:16)
129,Tom Clancy's H.A.W.X. 2,11/22/2010,$9.99,N/A (66%),"40,098 ±5,944",07:47 (03:24)
132,Rise of Venice,9/27/2013,$6.24,N/A (66%),"58,995 ±7,210",12:37 (03:12)
133,Light of Altair,6/4/2009,$14.99,N/A (66%),"23,275 ±4,529",08:05 (03:20)
134,Blazing Angels: Squadrons of WWII,5/13/2008,$5.99,N/A (65%),"19,588 ±4,155",01:31 (00:12)
136,Air Conflicts - Secret Wars,9/30/2011,$4.99,N/A (65%),"66,139 ±7,634",05:55 (01:06)
137,Skyward Collapse,5/23/2013,$1.99,N/A (64%),"97,941 ±9,289",02:17 (01:15)
138,Restaurant Empire II,5/27/2009,$4.99,N/A (64%),"43,324 ±6,179",18:42 (02:08)
141,Echelon: Wind Warriors,8/8/2014,$1.19,N/A (63%),"4,379 ±1,964",00:53 (01:04)
142,Storm,6/27/2013,$3.39,N/A (63%),"17,745 ±3,954",01:39 (00:51)
143,The Guild II - Pirates of the European Seas,6/24/2010,$1.99,N/A (63%),"197,495 ±13,188",06:50 (01:23)
144,Jagged Alliance: Crossfire,8/24/2012,$4.99,N/A (63%),"109,003 ±9,799",21:18 (03:18)
145,Redshirt,11/13/2013,$2.49,N/A (62%),"51,621 ±6,744",04:06 (01:37)
146,Wings Over Europe,5/30/2014,$1.49,N/A (62%),"5,070 ±2,113",00:50 (00:47)
148,Bientôt l'été,2/6/2013,$4.99,N/A (62%),"23,275 ±4,529",00:35 (00:25)
150,Buzz Aldrin's Space Program Manager,10/31/2014,$19.79,N/A (62%),"7,144 ±2,509",10:35 (07:40)
151,Bus Driver,6/3/2014,$3.39,N/A (61%),"139,422 ±11,082",00:58 (00:15)
152,Dream Pinball 3D,9/19/2012,$6.99,N/A (61%),"70,748 ±7,895",01:25 (00:14)
153,The Guild II,6/24/2010,$1.99,N/A (61%),"401,212 ±18,789",05:08 (01:05)
155,Rig 'n' Roll,7/9/2010,$1.99,N/A (61%),"57,612 ±7,125",03:42 (00:54)
156,Wings! Remastered Edition,10/17/2014,$3.74,N/A (61%),"8,988 ±2,814",03:30 (02:29)
157,IL-2 Sturmovik: Cliffs of Dover,7/19/2011,$5.99,N/A (60%),"206,483 ±13,485",16:27 (02:42)
158,Pacific Storm: Allies,8/18/2008,$1.59,N/A (60%),"50,238 ±6,653",04:40 (01:06)
159,Off-Road Drive,9/29/2011,$1.99,N/A (60%),"53,464 ±6,864",08:26 (01:13)
160,Rigonauts,8/7/2012,$1.99,N/A (60%),"21,893 ±4,392",01:50 (01:01)
161,Orbital Gear,8/7/2014,$0.99,N/A (59%),"97,941 ±9,289",01:50 (01:19)
