,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
326,Icewind Dale: Enhanced Edition,231,999,999999,47703,2245
327,Railroad Tycoon 3,2967,499,999999,108772,2146
328,Hostile Waters: Antaeus Rising,504,149,999999,71900,24
329,Panzer Corps,463,1499,999999,29728,8935
330,Robin Hood,1392,199,999999,79275,205
331,Full Spectrum Warrior,2893,499,999999,100476,46
332,Depths of Peril,1668,399,999999,38715,412
333,Kohan: Ahriman's Gift,1394,999,999999,14979,1852
334,Weird Worlds: Return to Infinite Space,821,499,999999,285527,109
335,The Settlers 7: Paths to a Kingdom - Gold Edition,1561,1199,999999,121216,2120
336,Rome: Total War - Alexander,2851,249,999999,468504,446
337,Space Empires IV Deluxe,3418,199,999999,59686,1051
338,Europa Universalis: Rome - Gold Edition,2373,249,999999,67752,2053
339,Earth 2150 Trilogy,594,699,999999,82040,216
340,Battle Academy 2: Eastern Front,279,3599,999999,691,7701
341,So Many Me,336,494,999999,2996,314
342,Crazy Machines,2379,249,999999,38255,250
343,Crazy Machines 1.5 New from the Lab,2379,249,999999,37102,237
344,Avernum 2: Crystal Souls,155,1349,999999,4379,2230
345,Etherlords II,490,149,999999,51851,756
346,Frozen Cortex,119,1674,999999,14518,621
347,Fallen Enchantress,968,499,999999,97250,3332
348,Desperados - Wanted Dead or Alive,575,249,999999,58995,530
349,King's Bounty: Crossworlds,1735,299,999999,244968,2111
350,Crazy Machines 1.5,2379,249,999999,1670,0
351,Crazy Machines 1.5 Inventors Training Camp,2379,249,999999,37102,101
352,Praetorians,433,49,999999,45399,211
353,Command and Conquer 3: Kane's Wrath,2043,999,999999,161084,1831
354,Nexus: The Jupiter Incident,2907,399,999999,54617,1305
355,Etherlords,490,149,999999,44707,41
356,Men of War: Red Tide,2055,99,999999,223075,954
357,Soldiers: Heroes of World War II,350,124,999999,44016,550
358,Heroes of Might & Magic V,2592,599,999999,257182,2037
359,Anomaly 2,764,599,999999,250729,218
360,Perimeter,441,99,999999,25119,129
361,Massive Assault,2052,999,999999,2672,41
362,MoonBase Commander,497,203,999999,6453,122
363,Knights of Honor,2325,249,999999,59686,1426
364,rymdkapsel,504,319,999999,10831,301
365,RISK Factions,1563,499,999999,47473,1131
366,Avernum: Escape From the Pit,1163,299,999999,75587,1709
367,Greed Corp,1651,499,999999,264095,254
368,GoD Factory: Wingmen,293,999,999999,38255,338
369,Overture,136,249,999999,14288,615
370,Demigod,1282,499,999999,196573,509
371,American Conquest,1392,249,999999,70978,437
372,Sword of the Stars,1840,249,999999,19358,5727
373,Cubetractor,750,199,999999,132508,36
374,Space Colony,49,1349,999999,7835,455
375,Iron Brigade,1039,509,999999,107620,654
376,Sol Survivor,1921,499,999999,80196,1740
377,Port Royale 2,2193,99,999999,69596,1147
378,Patrician III,1673,124,999999,110385,511
379,Sword of the Stars Complete Collection,1840,249,999999,109233,2900
380,Blackguards 2,149,824,999999,22354,1231
381,King's Bounty: Warriors of the North,966,299,999999,141957,6221
382,Cossacks: European Wars,1392,249,999999,68213,1508
383,The Masterplan,14,1499,999999,9909,321
384,Cubemen,1189,239,999999,177676,141
385,AirBuccaneers,999999,0,999999,130665,224
386,Convoy,58,1349,999999,12905,957
387,MASSIVE CHALICE,17,1339,999999,56230,941
388,Cossacks: Art of War,1392,249,999999,52082,3416
389,Stellar Impact,1162,999,999999,105546,625
390,Dungeon Hearts,812,74,999999,87340,210
391,Fieldrunners 2,889,499,999999,124212,1223
392,Ceville,2302,249,999999,29498,504
393,Crusader Kings Complete,1220,249,999999,81118,615
394,Warrior Kings,420,199,999999,10140,1149
395,Unstoppable Gorg,1246,99,999999,69596,227
396,Warlock 2: the Exiled,434,499,999999,58304,2407
397,Cossacks II: Napoleonic Wars,1392,249,999999,69826,342
398,King's Bounty: Dark Side,303,319,999999,61300,5921
399,Worms Blast,1338,199,999999,354431,19
400,Earth 2160,3365,499,999999,113381,520
401,DUNGEONS - The Dark Lord (Steam Special Edition),1360,499,999999,130665,327
402,Perimeter: Emperor's Testament,392,99,999999,9218,324
403,PixelJunk™ Monsters Ultimate,661,199,999999,159701,650
404,MouseCraft,345,449,999999,12444,219
405,Aarklash: Legacy,644,499,999999,31341,613
406,Space Hulk Ascension,218,1499,999999,31341,1539
407,X2: The Threat,3254,249,999999,211553,1245
408,Skulls of the Shogun,689,999,999999,176063,428
409,Grand Ages: Rome,2281,249,999999,145644,1023
410,Majesty 2,2100,249,999999,94023,2103
411,Crazy Machines 2,20,374,999999,129973,254
412,Flotilla,1904,499,999999,91949,230
413,Lords of Xulima,216,1299,999999,23275,3827
414,Massive Assault Network 2,2052,1499,999999,3457,2104
415,The Last Federation,426,499,999999,42172,557
416,Gratuitous Space Battles,2040,1499,999999,531877,557
417,World War III: Black Gold,629,499,999999,38255,104
418,Elven Legacy,2263,124,999999,67291,1152
419,To End All Wars,293,3599,999999,2765,3816
420,Dungeons 2,55,2679,999999,32032,1445
421,Battle Worlds: Kronos,591,1999,999999,20049,1043
422,March of the Eagles,850,499,999999,67061,1517
423,UFO: Afterlight,528,139,999999,275848,427
424,The Kings' Crusade,1714,249,999999,67752,802
425,Bionic Dues,618,299,999999,58534,300
426,X3: Reunion,3254,499,999999,335304,1238
427,Pride of Nations,1472,999,999999,21662,1535
428,Bravada,300,999,999999,4379,245
429,Anomaly Defenders,385,499,999999,23736,602
430,Thrillville: Off the Rails,2171,669,999999,6453,1005
431,Full Spectrum Warrior: Ten Hammers,2893,499,999999,97250,105
432,Heroes of Might & Magic V: Tribes of the East,2442,599,999999,196573,3833
433,Sengoku,1372,249,999999,101167,440
434,Fate of the World,1571,999,999999,71439,355
435,Vertex Dispenser,1469,999,999999,37333,53
436,A Druid's Duel,113,549,999999,17975,224
437,Crowntakers,223,749,999999,5070,619
438,Making History: The Calm & The Storm,3019,74,999999,60147,1025
439,Panzer Tactics HD,392,499,999999,21893,1849
440,Qvadriga,370,999,999999,8757,7524
441,Order of War,2100,199,999999,164310,1351
442,Imperial Glory,433,49,999999,54156,541
443,Ironclad Tactics,638,749,999999,73513,528
444,Basketball Pro Management 2015,211,624,999999,2074,907
445,Gratuitous Tank Battles,1127,249,999999,62682,325
446,Cossacks II: Battle for Europe,1392,249,999999,69135,1535
447,Freaking Meatbags,134,669,999999,28806,42
448,Check vs. Mate,1036,499,999999,12675,432
449,"Warhammer 40,000: Armageddon",204,3999,999999,13366,1950
450,Elven Legacy: Ranger,2067,124,999999,47242,345
451,Space Empires V,3167,299,999999,60147,2724
452,A Valley Without Wind 2,850,374,999999,190812,56
453,Men of War: Vietnam,1379,199,999999,126056,614
454,Joint Task Force,3005,399,999999,27654,939
455,Tom Clancy's EndWar,2304,599,999999,49777,631
456,SPACECOM,274,499,999999,6913,216
457,Commander: Conquest of the Americas,1784,199,999999,76970,2809
458,Galcon Fusion,1953,999,999999,171685,511
459,Shad'O,1017,499,999999,28115,146
460,Cubemen 2,801,479,999999,83423,202
461,UFO: Extraterrestrials Gold,1947,999,999999,75818,2114
462,X: Beyond the Frontier,1714,249,999999,189890,434
463,Oil Rush,1240,999,999999,352357,130
464,Pacific Storm,2550,159,999999,47933,55
465,Shattered Union,3158,249,999999,46090,254
466,Faces of War,428,124,999999,36181,631
467,CivCity: Rome,2995,499,999999,58765,1059
468,Fantasy Wars,1777,139,999999,59225,1025
469,The Settlers: Rise of an Empire Gold Edition,2442,1199,999999,29498,2055
470,Rise of Venice,629,624,999999,58995,1237
471,Heroes of Might & Magic V: Hammers of Fate,2442,599,999999,176524,843
472,Armada 2526 Gold Edition,840,499,999999,17284,2036
473,Flockers,272,499,999999,19127,125
474,American Conquest - Fight Back,1392,249,999999,60378,530
475,Patrician IV: Steam Special Edition,1735,499,999999,153940,1225
476,Light of Altair,2205,1499,999999,23275,805
477,King Arthur II - The Role-playing Wargame,1238,249,999999,149331,1030
478,Armada 2526,1532,374,999999,16131,559
479,Battleplan: American Civil War,349,339,999999,24658,115
480,Theatre of War,1805,124,999999,80888,243
481,The Witcher Adventure Game,203,399,999999,41942,444
482,Supreme Ruler 2020: Gold,2170,329,999999,47933,5736
483,"War, the Game",157,399,999999,25580,344
484,X-COM: Enforcer,2478,249,999999,474034,40
485,Helldorado,2240,749,999999,30650,227
486,Grotesque Tactics: Evil Heroes,1707,349,999999,136887,408
487,Hinterland,2452,999,999999,34337,624
488,Heroes of Annihilated Empires,3130,449,999999,35028,922
489,Sword of the Stars II: Enhanced Edition,930,499,999999,150483,2235
490,FLOCK!,2263,99,999999,26732,104
491,DUNGEONS - Steam Special Edition,1589,749,999999,170302,811
492,Red Faction II,2142,499,999999,439006,151
493,Skyward Collapse,756,199,999999,97941,217
494,Naval War: Arctic Circle,1164,499,999999,61069,842
495,Restaurant Empire II,2213,499,999999,43324,1842
496,Warrior Kings: Battles,408,199,999999,7144,913
497,Supreme Ruler Cold War,1420,249,999999,26963,2225
498,The Guild II - Pirates of the European Seas,1820,199,999999,197495,650
499,Disciples III: Resurrection,1346,499,999999,127669,918
500,Rulers of Nations,337,1999,999999,8757,1219
501,Defense Technica,602,374,999999,19358,433
502,Theatre of War 2: Africa 1943,1805,249,999999,82731,531
503,Jagged Alliance: Crossfire,1028,499,999999,109003,2118
504,Sneaky Sneaky,218,349,999999,2996,448
505,Chess 2: The Sequel,303,4,999999,10831,4805
506,Buzz Aldrin's Space Program Manager,230,1979,999999,7144,1035
507,Redshirt,582,249,999999,51621,406
508,The Guild II,1820,199,999999,401212,508
509,World War II: Panzer Claws,629,499,999999,26502,23
510,Signal Ops,577,299,999999,8527,347
511,Reign: Conflict of Nations,1802,99,999999,57382,356
512,Cossacks: Back to War,1750,249,999999,101167,1700
513,Rigonauts,1045,199,999999,21893,150
514,A Game of Dwarves,968,249,999999,98863,1205
515,Pacific Storm: Allies,2495,159,999999,50238,440
516,Total War Battles: SHOGUN,1023,249,999999,158319,256
517,Horizon,497,749,999999,76048,1359
518,The Castle Doctrine,505,1599,999999,15671,459
519,VoidExpanse,77,1124,999999,13136,1312
520,Defenders of Ardania,1191,199,999999,41250,219
521,The Settlers: Heritage of Kings,2522,599,999999,15440,1600
522,Airline Tycoon 2,1333,499,999999,104624,908
523,Men of War: Condemned Heroes,1162,199,999999,97019,931
524,There Came an Echo,114,1004,999999,14288,330
525,Tiny Troopers,1028,124,999999,43324,247
526,Genesis Rising,2873,249,999999,29267,141
527,Pirates of Black Cove,1416,249,999999,72822,452
528,Disciples III: Renaissance,1798,499,999999,166615,1635
529,Iron Warriors: T-72 Tank Command,3249,99,999999,39637,51
530,Guardians of Graxia,1681,197,999999,63834,234
531,Warhammer Quest,162,749,999999,10140,2030
532,Iron Front : Liberation 1944,1119,1249,999999,61530,1437
533,SpellForce 2 - Faith in Destiny,1094,749,999999,258795,958
534,Defenders of Time,226,1999,999999,2996,140
535,Emergency 5 - Deluxe Edition,203,2499,999999,14749,518
536,The Political Machine 2012,1052,199,999999,78814,438
537,Achron,1389,399,999999,12214,324
538,King Arthur - Fallen Champions,1371,124,999999,76509,117
