,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
539,Gemini Wars,958,374,999999,31572,539
540,M.U.D. TV,1886,249,999999,41020,531
541,Lords of Football,804,749,999999,42172,548
542,Confrontation,1170,679,999999,347287,108
543,Railroad Pioneer,352,249,999999,9909,615
544,Tryst,1007,374,999999,12675,56
545,Adventure Park,587,999,999999,23045,130
546,Light,339,324,999999,36411,142
547,Theatre of War 3: Korea,1547,299,999999,40098,333
548,APOX,1610,374,999999,40098,509
549,Line Of Defense Tactics - Tactical Advantage,458,749,999999,2996,56
550,Impire,854,499,999999,109003,901
551,Meridian: New World,265,299,999999,45859,216
552,Brigade E5: New Jagged Union,414,99,999999,10370,516
553,Fray,1094,0,999999,5300,226
554,Gettysburg: Armored Warfare,1178,999,999999,35720,48
555,Frontline : Road to Moscow,314,499,999999,12214,853
556,Blockscape,350,1999,999999,20280,708
557,Armello,147,2499,999999,14749,512
558,Shadow Hunter,59,0,999999,13597,12
559,Xam,338,0,999999,204409,29
560,Mech Marines: Steel March,160,799,999999,3226,154
561,Spectre,227,1199,999999,1152,5
562,Hero Generations,69,1199,999999,8988,208
563,Arena Wars 2,979,119,999999,55308,35
564,Armed Tactics,29,1799,999999,668,1245
565,Out There: Ω Edition,77,899,999999,9448,331
566,Crunch Time!,169,199,999999,12444,127
567,Command: Modern Air / Naval Operations WOTY,265,3999,999999,5761,1243
568,AdvertCity,13,1799,999999,566,0
569,WOC_Basic,77,974,999999,1336,1254
570,Spaceforce Constellations,553,299,999999,3226,118
571,Real Warfare,1296,99,999999,39407,31
572,Idol Hands,120,999,999999,1152,400
573,Rugby Union Team Manager 2015,197,3999,999999,4379,1122
574,Spark Rising,406,499,999999,30880,43
575,Sometimes: Success Requires Sacrifice,111,299,999999,16131,50
576,AERENA - Masters Edition,128,475,999999,10601,203
577,Dungeon Crawlers HD,17,499,999999,1002,42
578,Archon:Classic,1689,999,999999,22814,224
579,Dead Man's Draw,497,499,999999,8988,454
580,Seven Kingdoms 2 HD,134,499,999999,18666,540
581,RIP - Early Access,230,149,999999,11522,59
582,Exodus Wars: Fractured Empire,139,499,999999,2304,11
583,Conquest of Elysium 3,967,499,999999,38946,951
584,Sleep Attack,21,594,999999,668,224
585,Warring States,255,1099,999999,6683,125
586,Void Destroyer,149,974,999999,20049,409
587,Elven Legacy: Magic,2023,124,999999,47242,146
588,Survivors,90,199,999999,6453,128
589,Fallen: A2P Protocol,73,1004,999999,4379,43
590,Time of Fury,335,999,999999,1131,21
591,Patterns,999999,0,999999,10601,213
592,Defend Your Life,69,199,999999,39407,350
593,RESCUE 2,15,2249,999999,3226,416
594,A Game of Thrones - Genesis,1359,679,999999,196112,434
595,Oddworld: Stranger's Wrath HD,1641,499,999999,192886,342
596,Steel Storm: A.M.M.O.,631,999,999999,2829,1
597,Foresight,202,999,999999,9448,219
598,Frontline : The Longest Day,191,299,999999,668,241
599,Darkwind: War on Wheels,300,0,999999,150023,50
600,LA Cops,97,749,999999,6222,236
601,Monsters & Munitions,999999,0,999999,2672,18
602,The Depths of Tolagal,164,399,999999,3687,23
603,The Few,365,199,999999,23275,314
604,Go Home Dinosaurs!,826,199,999999,22814,442
605,TransPlan,10,74,999999,1002,35
606,The Entente Gold,367,49,999999,20280,126
607,Terraform,41,179,999999,691,407
608,Garden Rescue,136,299,999999,6453,639
609,Hexcells Infinite,290,149,999999,28115,1910
610,Perfect Golf,147,1999,999999,9679,8017
611,Spirit Of War,98,749,999999,2004,322
612,Pahelika: Revelations HD,108,999,999999,22354,35
613,688(I) Hunter/Killer,3157,199,999999,33646,225
614,Cosmochoria,52,499,999999,8066,419
615,60 Seconds!,24,899,999999,15671,302
616,Sentinel 3: Homeworld,500,174,999999,6913,1254
617,Gorky 17,629,499,999999,97019,123
618,Timelines: Assault on America,632,74,999999,5300,109
619,Cubesis,300,229,999999,6913,3
620,GamersGoMakers,314,499,999999,12675,731
621,Atlantica,1084,0,999999,128591,3609
622,FaeVerse Alchemy,442,749,999999,6453,441
623,Sovereignty: Crown of Kings,70,2499,999999,2535,811
624,Agarest Zero,427,499,999999,48164,1524
625,Zotrix,120,849,999999,2765,211
626,Smugglers 5: Invasion,245,499,999999,1613,341
627,Braveland,458,249,999999,24428,314
628,Crest,56,449,999999,2338,10
629,Global Outbreak: Doomsday Edition,311,649,999999,1002,56
630,Trapped Dead,1434,199,999999,126056,154
631,Sky Battles,85,249,999999,8988,3
632,Starscape,2418,999,999999,14288,621
633,Across The Rhine,224,349,999999,5992,33
634,BattleSpace,162,0,999999,59917,340
635,Steam Squad,399,1349,999999,1152,27
636,Decisive Campaigns: Case Blue,42,2999,999999,1131,10926
637,Offworld Trading Company,126,3599,999999,37794,918
638,Power Of Defense,1779,999,999999,10140,101
639,Majesty: Gold Edition,2113,249,999999,91719,824
640,Hearthlands,188,1004,999999,8988,338
641,Hell,217,1499,999999,7144,1649
642,Making History: The Great War,140,989,999999,8296,2238
643,Stalingrad,85,124,999999,2074,115
644,Rebuild 3: Gangs of Deadsville,20,1274,999999,27884,2417
645,Solar War,163,679,999999,1002,51
646,Disciples III: Reincarnation,489,999,999999,75818,4113
647,Gardens Inc. 2: The Road to Fame,392,339,999999,2263,602
648,Victoria: Revolutions,1763,249,999999,100706,1122
649,CroNix,126,0,999999,117760,34
650,Cinemaware Anthology: 1986-1991,216,249,999999,3687,235
651,Jack Lumber,779,499,999999,155092,55
652,Ascension to the Throne,421,99,999999,15901,1131
653,Telepath Tactics,63,1124,999999,3918,248
654,Ground Pounders,338,194,999999,10601,427
655,Reckless Ruckus,90,0,999999,21201,324
656,Ancient Space,268,499,999999,27193,440
657,Crusaders: Thy Kingdom Come,2079,249,999999,21893,432
658,Breach & Clear: Deadline,148,1499,999999,6913,206
659,Automation - The Car Company Tycoon Game,98,2699,999999,24658,1136
660,Port Royale 3,1140,624,999999,170533,1520
661,Train Valley,42,999,999999,668,206
662,Z Steel Soldiers,321,441,999999,15671,242
663,XIII Century,2120,259,999999,64987,135
664,X-COM: Terror from the Deep,2967,249,999999,499845,1021
665,Hunters Of The Dead,287,99,999999,18666,227
666,Forsaken Uprising,197,59,999999,18666,218
667,Servo,21,1799,999999,1697,4734
668,Strategic War in Europe,454,374,999999,37333,351
669,Alien Hallway,1399,499,999999,36411,331
670,Don't Shoot Yourself!,69,499,999999,1670,123
671,Great Big War Game,1024,349,999999,8757,624
672,Luminosity,70,499,999999,7605,42
673,Crazy Machines: Golden Gears,448,249,999999,14979,41
674,Grotesque Tactics 2 - Dungeons and Donuts,1305,349,999999,87571,511
675,OBEY,28,1199,999999,1844,145
676,Nekro,412,999,999999,34107,231
677,Age of Booty,2292,99,999999,24428,308
678,KeeperRL,79,1124,999999,5761,523
679,Run For Rum,351,74,999999,3226,11
680,Clockwork Empires,307,2999,999999,13136,509
681,Planet Stronghold,409,949,999999,31572,455
682,Hegemony Gold: Wars of Ancient Greece,1175,999,999999,12214,1811
683,Regimental Chess,50,0,999999,20510,45
684,Tribloos 2,504,149,999999,27884,130
685,Anomaly Warzone Earth Mobile Campaign,589,199,999999,32032,201
686,Deadnaut,192,669,999999,2996,242
687,Cannon Brawl,115,0,999999,50238,331
688,OTTTD,316,249,999999,42172,340
689,Farm Frenzy 4,415,202,999999,7835,805
690,Dungeonbowl Knockout Edition,1081,374,999999,35720,449
691,Abalone,421,249,999999,9679,344
692,Desert Law,85,124,999999,1336,43
693,Mad Games Tycoon,164,899,999999,19358,951
694,Roaming Fortress,210,1099,999999,566,12
695,UFO Online,251,0,999999,1131,10
696,Card Dungeon,16,999,999999,1844,142
697,Jagged Alliance Gold,421,499,999999,13136,500
698,Moonrise,22,0,999999,14288,1525
699,InnerCube,125,99,999999,4609,44
700,Eufloria HD,247,599,999999,264095,220
701,Freight Tycoon Inc.,441,99,999999,18897,807
702,Geneforge 2,4370,599,999999,75357,1640
703,Gratuitous Space Battles 2,63,1874,999999,6222,456
704,Zafehouse: Diaries,650,339,999999,40329,533
705,King Arthur: Collection,1486,0,999999,104854,1056
706,Spice Road,420,999,999999,7605,528
707,Weather Lord: The Successor's Path,42,334,999999,566,0
708,Parcel,57,334,999999,922,707
709,Enemy,93,989,999999,2535,223
710,X-COM: Interceptor,2478,249,999999,477261,113
711,Chaos Reborn,191,1999,999999,11292,931
712,Uprising44: The Silent Shadows,426,599,999999,2074,45
713,Band of Drones,85,799,999999,566,39
714,Frozen Hearth,546,899,999999,230219,150
715,Sacraboar,2050,899,999999,50468,27
716,Vulture for NetHack,136,2,999999,6913,354
717,911: First Responders,266,249,999999,12444,1746
718,Storm over the Pacific,370,249,999999,8988,143
719,Strata,385,399,999999,8066,604
720,Making History II: The War of the World,1756,494,999999,28345,1842
721,Evolution II: Fighting for Survival,126,299,999999,1844,44
722,Celestial Command,210,799,999999,2004,243
723,Zoo Park,370,99,999999,45399,226
724,Iron Sky Invasion,917,1999,999999,63604,138
725,Royal Defense,220,239,999999,18206,356
726,Real Warfare 2: Northern Crusades,1308,199,999999,37333,114
727,Apollo4x,44,1999,999999,922,41
728,Hexcells Plus,484,89,999999,49316,849
729,Maia,562,2249,999999,29958,304
730,Guild Commander,146,424,999999,2338,200
731,Toast Time,295,249,999999,20740,55
732,Agarest: Generations of War 2,119,1199,999999,22123,1509
733,TownCraft,113,599,999999,10601,621
734,Fieldrunners,1120,249,999999,158549,351
735,Making History: The Calm and the Storm Gold Edition,30,499,999999,2535,257
736,Great Permutator,276,237,999999,25810,136
737,SBX: Invasion,17,374,999999,691,0
738,ZAMB! Biomutant Extermination,363,499,999999,2535,48
739,Deadly Profits,20,149,999999,8527,141
740,7th Legion,238,349,999999,10140,20
741,Virus 14,140,699,999999,7835,17
742,UFO: Aftershock,428,99,999999,43555,809
743,Geneforge 4,3151,599,999999,75357,828
744,Pirate's Life,62,499,999999,1844,245
745,Star Traders: 4X Empires,184,399,999999,4609,240
746,BloodRealm: Battlegrounds,126,0,999999,129973,208
747,Risk,738,499,999999,19358,912
748,Crazy Machines Elements,1224,499,999999,27654,246
749,Luxor HD,38,339,999999,566,1
750,7 Wonders: Magical Mystery Tour,485,237,999999,2996,1126
751,Worms,1338,199,999999,174681,17
752,Winged Sakura: Mindy's Arc,223,749,999999,8988,323
753,"Warhammer 40,000: Storm of Vengeance",441,149,999999,12214,336
754,Massive Assault: Phantom Renaissance,2052,999,999999,3226,1155
755,Survivalist,139,299,999999,52312,953
756,Draconian Wars,294,149,999999,6913,240
757,Triple Town,924,499,999999,48625,1947
758,Trackday Manager,22,1999,999999,1002,1338
759,Imagine Earth,394,1799,999999,1336,114
760,Ironcast,84,974,999999,17284,953
761,Space Station Alpha,111,599,999999,11292,850
762,Jagged Alliance 2 Gold: Unfinished Business,3269,399,999999,51390,301
763,TOTM,135,799,999999,3339,13
764,Ballad of Solar,392,174,999999,2304,400
765,Nethergate: Resurrection,986,149,999999,43555,233
766,Viking Brothers,421,249,999999,1002,2806
767,Finders,70,299,999999,2304,543
768,Alpha Kimori™ Episode One,458,699,999999,52082,212
769,Ironclads: Anglo Russian War 1866,1458,199,999999,35489,35
770,16 Bit Arena,86,0,999999,43785,1
771,Lords of the Black Sun,279,749,999999,18436,220
772,Wildlife Park 2 - Marine World,336,279,999999,16131,134
773,Undead Overlord,335,1499,999999,2996,128
774,Basement,49,899,999999,12444,154
775,Pro Rugby Manager 2015,273,199,999999,8066,2604
776,Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,147,2999,999999,1131,39
777,Uncharted Waters Online: Gran Atlas,258,0,999999,162236,919
778,iBomber Defense Pacific,1204,499,999999,218927,421
779,Close Combat : Panthers in the Fog,35,3999,999999,1152,924
780,Star Ruler,1732,494,999999,152557,1227
781,Predestination,134,2999,999999,3005,106
782,Small World 2,554,199,999999,131126,522
783,Commando Jack,300,149,999999,195421,17
784,16bit Trader,14,149,999999,668,124
785,Showtime!,391,399,999999,21893,508
786,Inside a Star-filled Sky,1496,799,999999,18436,58
787,R.O.O.T.S,78,224,999999,6453,205
788,Star Wolves 3: Civil War,1934,199,999999,111077,627
789,Ascent - The Space Game,111,1599,999999,4379,3511
790,Marauder,440,299,999999,13366,637
791,Galcon Legends,521,749,999999,108311,230
792,Casino Inc,62,599,999999,1152,250
793,Satellite Reign,189,2399,999999,19358,302
794,Racing Manager 2014,559,499,999999,15671,536
795,Fake Colours,168,449,999999,6453,50
796,City Life 2008,2453,339,999999,21662,658
797,Wildlife Park,78,559,999999,1002,143
798,Halfway,331,649,999999,19127,342
799,Tropico 2: Pirate Cove,2153,174,999999,194730,619
800,War on Folvos,314,199,999999,6913,348
801,Blitzkrieg 2 Anthology,275,124,999999,32724,907
802,Subject 9,408,799,999999,17053,13
803,Spirits,1017,299,999999,150944,107
804,Oil Enterprise,27,1699,999999,668,142
805,US and THEM,457,149,999999,19819,224
806,PC Gamer,1360,0,999999,54156,149
807,Cultures - Northland,84,99,999999,2074,617
808,Tank Operations: European Campaign,573,374,999999,42864,257
809,Airships: Conquer the Skies,113,999,999999,2304,628
810,"7 Grand Steps, Step 1: What Ancients Begat",741,659,999999,40329,555
811,9th Company - Roots of Terror,2023,149,999999,29728,505
812,The Counting Kingdom,317,699,999999,10140,103
813,Wildlife Park 3,402,799,999999,62913,334
814,Worlds of Magic,91,2399,999999,11983,949
815,Dark Forester,129,349,999999,1697,437
816,Survivor Squad: Gauntlets,48,674,999999,2535,256
817,Wildlife Park 2 - Dino World,336,279,999999,18897,345
818,Industry Empire,323,1499,999999,17975,1339
819,Game Tycoon 1.5,492,249,999999,20510,114
820,Delve Deeper,1728,499,999999,85036,512
821,Haegemonia: The Solon Heritage,413,124,999999,43555,40
822,Wyrmsun,27,374,999999,1336,253
823,Majesty 2 Collection,1521,499,999999,90797,1743
824,Chris Sawyer's Locomotion,93,299,999999,3687,723
825,Entropy,556,1999,999999,20049,341
826,Westward IV,1948,699,999999,5531,1256
827,Deity Quest,149,499,999999,3226,409
828,Freedom Force vs. the 3rd Reich,2211,374,999999,140113,340
829,Magnifico,198,299,999999,54617,117
830,Stonehearth,15,2499,999999,43094,1007
831,GearCity,384,1279,999999,10140,2034
832,Star Wolves 2,1934,99,999999,53925,136
833,Agent Awesome,121,499,999999,7835,25
834,Supreme Ruler 1936,405,659,999999,11292,4840
835,Deadlock II - Shrine Wars,238,349,999999,2074,311
836,Selknam Defense,328,249,999999,16362,147
837,"7,62 High Calibre",414,124,999999,18206,655
838,Pox Nora,246,0,999999,242433,1220
839,The Cosmos Is MINE!,55,599,999999,3687,9
840,Hive,455,249,999999,8757,150
841,Dwarf Tower,177,299,999999,11753,145
842,Airship Dragoon,296,499,999999,9909,12
843,UFO: Aftermath,421,99,999999,44938,654
844,GemCraft - Chasing Shadows,49,499,999999,15901,3640
845,Sid Meier's Ace Patrol: Pacific Skies,590,249,999999,409048,248
846,Steam Marines,267,509,999999,57612,217
847,Alea Jacta Est,226,1499,999999,2074,453
848,UFHO2,16,649,999999,566,0
849,Disciples Sacred Lands Gold,254,159,999999,5992,239
850,Slam Bolt Scrappers,826,199,999999,32724,131
851,Claws & Feathers,84,349,999999,566,6
852,Wasteland 1 - The Original Classic,582,599,999999,387846,152
853,12 Labours of Hercules,87,98,999999,13597,335
854,Catan,673,849,999999,48855,1801
855,Rush for Glory,367,749,999999,38024,34
856,Jagged Alliance Online - Steam Edition,743,0,999999,79966,925
857,Battle Chess: Game of Kings™,458,999,999999,6345,517
858,March of War: Face Off,70,0,999999,52312,317
859,Cold Contract,114,499,999999,5992,1808
860,Reach for the Sun,588,249,999999,23045,153
861,Battle Fleet 2,210,499,999999,11753,735
862,Escape,59,0,999999,66369,14
863,Arcane Worlds,506,999,999999,24889,52
864,Anomaly Korea,589,199,999999,125595,144
865,Distant Star: Revenant Fleet,72,645,999999,8757,155
866,Bumbledore,1190,124,999999,12444,48
867,"Once Bitten, Twice Dead!",37,499,999999,4379,410
868,Battle Group 2,370,159,999999,46090,257
869,Etherium,85,2399,999999,10831,704
870,Ascension,184,999,999999,3005,1212
871,12 Labours of Hercules II: The Cretan Bull,13,98,999999,19358,344
872,War of the Human Tanks,524,399,999999,43785,334
873,Damned Nation Reborn,126,649,999999,6453,30
874,7 Wonders: Ancient Alien Makeover,967,339,999999,16131,1204
875,TransOcean - The Shipping Company,268,1399,999999,42403,2136
876,Cults and Daggers,126,2999,999999,1613,503
877,The Nightmare Cooperative,337,149,999999,49547,50
878,Rise of Prussia Gold,407,999,999999,11292,509
879,Babel Rising,1045,599,999999,21662,102
880,Snails,45,499,999999,566,0
881,868-HACK,143,565,999999,2535,127
882,Earth 2140 HD,580,499,999999,30880,128
883,Urja,160,249,999999,9218,216
884,Boid,161,419,999999,78583,139
885,Famaze,409,0,999999,94945,24
886,Star Ruler 2,83,1499,999999,18436,1326
887,Highlands,58,989,999999,2996,151
888,Eden Star :: Destroy - Build - Protect,139,1999,999999,9218,247
889,Synonymy,105,199,999999,3687,136
890,The Hive,252,949,999999,2535,54
891,Machines At War 3,330,749,999999,11983,919
892,Pandora: First Contact,384,1979,999999,31341,2024
893,Kaiju-A-GoGo,56,974,999999,3687,1311
894,Conquest of Champions,421,0,999999,81118,401
895,Pixel: ru²,104,899,999999,566,0
896,Civil War II,350,2999,999999,4609,2526
897,Falling Skies: The Game,261,999,999999,1844,1436
898,Chainsaw Warrior,619,249,999999,18436,244
899,Combat Monsters,149,0,999999,64295,427
900,Supreme Ruler Ultimate,244,1499,999999,9679,1911
901,Pike & Shot,244,2999,999999,1613,2201
902,Defense Zone 2,384,499,999999,3687,3248
903,Egyptian Settlement Gold,37,799,999999,566,43
904,BattleLore: Command,79,399,999999,2074,710
905,WolfWars,167,499,999999,1152,152
906,Ichi,371,49,999999,39407,117
907,Jagged Alliance 2 - Wildfire,944,699,999999,66600,740
908,Kingdom Elemental,412,399,999999,19819,15
909,Littlewitch Romanesque: Editio Regia,76,1999,999999,1383,441
910,Theatre of War 2: Kursk 1943,1805,249,999999,57612,1030
911,Astro Emporia,136,224,999999,8527,225
912,SpellForce 2 - Demons of the Past,518,999,999999,58534,1111
913,Fritz for Fun 13,190,499,999999,566,140
914,Dungeonmans,191,1004,999999,11062,1555
915,Lux Delux,48,599,999999,2765,936
916,On My Own,115,499,999999,1613,34
917,Neocolonialism,199,499,999999,16131,145
918,X-Tension,1714,249,999999,188508,202
919,Hegemony Rome: The Rise of Caesar,399,749,999999,46090,1513
920,Sentinel,422,89,999999,21662,53
921,Victory Command,30,0,999999,134352,131
922,Graviteam Tactics: Operation Star,492,449,999999,8757,626
923,Star Nomad,171,99,999999,6453,31
924,Two Worlds II Castle Defense,1465,249,999999,128360,133
925,RPG Tycoon,318,629,999999,16592,135
926,Arcadecraft,392,249,999999,2074,156
927,Lilly and Sasha: Nexus of Souls,24,602,999999,7835,102
928,The Defenders: The Second Wave,80,299,999999,13366,126
929,OMG Zombies!,490,49,999999,17284,456
930,Elven Legacy: Siege,2039,124,999999,47012,52
931,Harvest: Massive Encounter,2337,999,999999,44707,433
932,Fat Chicken,196,999,999999,8527,253
933,Wildlife Park 2,336,559,999999,25580,714
934,WazHack,486,449,999999,18666,1209
935,Streets of Chaos,141,179,999999,14749,41
936,Reassembly,119,1199,999999,21201,2033
937,Battle Brothers,52,1799,999999,6222,1955
